Transaction_ID,Account_Number,Transaction_Date,Transaction_Amount,Merchant_Name,Transaction_Type,Category,City,Country,Payment_Method,Customer_Age,Customer_Gender,Customer_Occupation,Customer_Income,Account_Balance,Transaction_Status,Fraud_Flag,Discount_Applied,Loyalty_Points_Earned,Transaction_Description
405880c8-9f72-45cc-9f47-734ed84bb3c8,PRFR78066154598586,2024-10-01 00:55:06,1644.44,Gentry Ltd,Credit,Travel,Phoenix,USA,Credit Card,50,Male,Hospital doctor,43775.35,18178.1,Pending,No,False,219,Them or bad key matter rock.
f20c25fc-7578-4a37-b274-2f99b6f3ba32,MJUO25985684212289,2024-10-01 02:16:11,4086.99,"Edwards, Moreno and Stanley",Debit,Transport,,USA,Credit Card,30,Male,Science writer,141039.0,4152.73,Success,Yes,True,411,
30246169-5251-41df-9743-50200d865012,HEJA61869460569274,2024-10-01 02:41:31,5005.09,Trujillo Ltd,Debit,Healthcare,Chicago,USA,Credit Card,46,Female,Health visitor,51764.72,1966.21,Pending,Yes,False,79,Often from night view site season.
45f8e554-2a35-4e89-8fc5-7c4780475590,MEPV09401441245229,2024-10-01 04:07:48,5214.75,"Carrillo, Brewer and Miller",Credit,Entertainment,Chicago,USA,Online Transfer,56,Male,Horticultural consultant,97069.49,12281.86,Pending,Yes,True,319,Total choice maybe authority popular put yourself.
a547ee91-212a-4204-9279-bcf6952356d7,NYXL46772051710730,2024-10-01 05:33:14,3215.57,Maldonado-Rodriguez,Credit,Healthcare,Philadelphia,USA,Debit Card,48,Others,Colour technologist,92237.27,8933.62,Pending,Yes,True,180,Once receive side score.
a5d7617a-e0f2-4d64-82ce-68b88ee6271b,CUSG53910389166770,2024-10-01 06:32:54,2898.07,York Ltd,Debit,Shopping,San Jose,USA,Credit Card,53,Others,Music tutor,106378.93,18584.41,Failed,Yes,True,138,Blood visit leg ago.
3e92e0ce-5317-4641-9e9a-9ef959b9a627,PVOX05104730802821,2024-10-01 07:28:42,120.72,"Smith, Acosta and Hall",Credit,Healthcare,New York,USA,Debit Card,24,Female,Public house manager,67738.04,1532.06,Success,Yes,False,118,Citizen structure bad third most.
8351d705-f843-485a-8be7-39cfd6d1e8d6,AMWE63823919294787,2024-10-01 07:31:33,3594.73,"Stephenson, Pace and Curtis",Credit,Food,Dallas,USA,Online Transfer,21,Male,Chiropractor,33307.07,9542.78,Failed,Yes,False,421,Image ever between money performance forward.
3e29cbf5-7011-42c0-ab5f-5be9fe6f1cdb,XOUR61690085347550,2024-10-01 07:31:37,1169.93,Hogan Ltd,Credit,Grocery,Dallas,USA,Debit Card,24,Female,Information systems manager,55195.3,14780.76,Pending,Yes,True,155,Certain organization visit many black Congress become.
a40c2e8a-e073-4983-9d55-c80e3c383a33,VRQJ71270587722164,2024-10-01 08:38:36,1965.29,Allen-Moyer,Debit,Education,San Diego,USA,Cash,31,Female,Haematologist,114763.27,1527.85,Success,Yes,False,66,Treatment which paper.
