Transaction_ID,Account_Number,Transaction_Date,Transaction_Amount,Merchant_Name,Transaction_Type,Category,City,Country,Payment_Method,Customer_Age,Customer_Gender,Customer_Occupation,Customer_Income,Account_Balance,Transaction_Status,Fraud_Flag,Discount_Applied,Loyalty_Points_Earned,Transaction_Description
3f479945-508f-4153-b204-c257cd6f09d6,MVJJ64523900415242,2024-03-01 00:11:46,105.57,"Campbell, Harper and Jacobs",Credit,Shopping,San Antonio,USA,Debit Card,41,Others,Trade union research officer,84149.78,13201.55,Success,No,True,87,Our next throw then security.
ef3da71a-895c-46e1-b366-951ad5eea4fc,EDBY46059899261104,2024-03-01 00:34:51,3159.69,"Williams, Davila and Gonzalez",Debit,Grocery,Chicago,USA,Cash,24,Male,Retail manager,39182.21,4244.46,Success,No,True,452,Certain could show director final number hit air.
6aa954d3-a832-4a98-902b-296bf44ecd05,QQFT31448794769325,2024-03-01 00:49:24,2037.49,White LLC,Credit,Housing,Dallas,USA,Credit Card,52,Female,Theatre stage manager,57291.2,7461.44,Failed,No,False,152,Bag site interesting.
aa09f1bd-3321-4295-8e78-dd8bae4ce72f,WITW32039226868703,2024-03-01 01:16:07,4935.51,Collins-Kelly,Debit,Electronics,Phoenix,USA,Online Transfer,20,Male,Radio broadcast assistant,36088.03,3887.67,Failed,Yes,True,91,Religious trouble community can certainly.
fe60f539-39d5-4f9e-99f9-f7b3096be124,KFEA94124562120254,2024-03-01 02:05:15,2221.48,"Williams, Moreno and Fitzgerald",Debit,Housing,Los Angeles,USA,Online Transfer,18,Others,Youth worker,66032.96,5882.95,Success,Yes,False,161,Appear whose detail.
698d0510-4542-46eb-b887-c6085e4f3108,TYTD54827002933132,2024-03-01 02:23:42,1165.52,Edwards Ltd,Debit,Housing,Dallas,USA,Debit Card,48,Male,Counselling psychologist,44127.25,1372.52,Failed,No,True,23,Face and drive very single.
a59e4bd1-3293-4cfc-97af-1cfef8a5a038,THOS49995225296444,2024-03-01 02:50:01,1049.79,Phillips Inc,Debit,Fitness,New York,USA,Credit Card,46,Others,"Lecturer, higher education",72785.5,16474.38,Success,No,True,386,Either try ok blue oil.
1280ef0b-85bd-4f5a-88e0-44a5bf2fc4ea,EVJB63834661174953,2024-03-01 02:50:32,2196.62,"Wagner, Robinson and Wright",Credit,Grocery,Los Angeles,USA,Credit Card,32,Others,Public affairs consultant,62464.94,18834.32,Success,Yes,True,381,Bank debate yard lose trade design.
99d0375b-c80e-4878-be10-5dd310413ad0,TQKI90049037295458,2024-03-01 03:46:20,652.1,Moore and Sons,Debit,Clothing,Chicago,USA,Debit Card,24,Others,Musician,54232.65,131.29,Failed,Yes,False,147,Return teach during fact.
c754f6a4-e0a8-4207-b3b0-25e36b3a4af8,EKQB00963180098633,2024-03-01 05:12:44,3494.43,Coleman LLC,Credit,Entertainment,Dallas,USA,Online Transfer,44,Male,Engineering geologist,131762.83,2145.21,Failed,No,True,178,Machine class detail crime system eight.
